ImageId,EncodedPixels
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,182287 2 182799 2 183310 4 183821 6 184333 6 184844 8 185345 22 185857 23 186369 38 186881 38 187393 39 187905 42 188417 42 188929 42 189441 22 189465 18 189953 15 189980 14 190465 10 190477 2 190493 12 190977 10 190989 2 191005 12 191520 4 192033 2 192545 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,217601 12 218113 12 218625 12 219137 12 219649 12 220168 6 220681 6 221193 6 221707 2 222219 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,341507 2 342019 2 342530 3 343041 4 343553 4 344065 4 344577 4
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,229891 4 230403 4 230915 5 231427 6 231939 6 232451 5 232963 4
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,262671 6 263183 6 263695 6 264207 6 264719 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,159269 8 159781 8 160292 10 160803 16 160879 2 161315 16 161391 2 161826 18 161902 4 162335 26 162411 10 162846 28 162922 11 163357 32 163423 8 163433 12 163869 32 163935 8 163945 12 164380 34 164446 22 164891 36 164957 22 164993 10 165403 36 165469 22 165505 10 165914 37 165981 22 166016 12 166423 40 166469 10 166493 22 166527 14 166934 41 166980 12 167005 21 167038 16 167443 44 167491 16 167517 20 167549 22 167955 44 168003 16 168029 20 168061 22 168467 45 168514 18 168542 19 168572 23 168979 66 169055 18 169075 32 169491 66 169567 18 169587 32 170003 66 170083 50 170515 66 170595 50 171027 67 171110 46 171539 74 171623 44 172051 74 172135 44 172564 74 172647 43 173077 76 173159 42 173589 76 173671 42 174101 6 174111 44 174159 36 174197 8 174613 6 174623 44 174671 36 174709 8 175154 24 175184 34 175667 22 175697 32 176179 22 176209 32 176694 12 176742 8 177207 10 177255 6 177719 10 177767 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,217619 2 218131 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,219157 2 219669 2 220180 3 220691 4 221203 4 221715 2 222227 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,261161 6 261673 6 262184 8 262693 12 263205 12 263718 11 264231 10 264743 10 265255 10 265767 10 266282 7 266795 6 267307 6 267819 7 268331 8 268844 7 269357 8 269869 8 270381 8 270893 8 271405 8 271917 8 272429 8 272941 7 273453 6 273965 6 274476 7 274983 12 275495 12 276006 12 276517 12 277028 12 277533 18 278045 18 278556 18 279067 18 279579 18 280091 18 280603 18 281114 16 281625 6 281633 8 282137 6 282145 8 282648 7 282658 7 283157 10 283171 6 283669 10 283683 6 284181 10 284693 10
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,229943 4 230455 4 230966 6 231473 12 231985 12 232496 13 233007 14 233519 15 234031 16 234543 16 235055 16 235567 16 236079 16 236591 16 237103 16 237615 15 238127 14 238639 14 239151 7 239663 6 240175 6 240687 3 241199 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,310347 8 310361 12 310859 8 310873 12 311370 10 311384 14 311881 30 312393 13 312408 15 312905 12 312921 16 313417 12 313433 16 313928 12 313950 11 314437 14 314463 10 314949 14 314975 10 315460 14 315492 6 315969 16 316005 6 316481 16 316993 16 317505 16 318016 18 318527 22 319039 22 319550 23 320061 24 320572 26 321083 30 321595 30 322107 31 322619 34 323131 34 323644 33 324157 32 324669 32 325181 32 325693 32 326205 31 326717 30 327229 30 327742 28 328255 26 328776 16 329289 14 329801 14
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,225855 8 226367 8 226879 8 227391 8 227903 8 228415 8 228927 8
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,71 2 583 2 1094 4 1603 8 2115 8 2627 8 3139 8 3651 8 4161 12 4673 12 5186 11 5699 10 6211 10 6724 8 7237 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,197753 4 198264 6 198771 14 199283 14 199794 16 200303 24 200815 24 201326 25 201835 28 202346 28 202855 30 203367 30 203878 28 204389 28 204901 28 205412 18 205921 20 206432 20 206943 20 207455 20 207970 14 208483 12 208995 12
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,320103 2 320614 3 321125 4 321637 4 322148 5 322659 6 323171 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,128137 4 128649 4 129160 5 129671 6 130183 6 130679 18 131191 18 131703 17 132215 16 132727 16 133240 14 133753 12 134265 12
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,186515 8 187027 8 187539 7 188051 6 188563 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,294059 16 294571 16 295082 18 295583 34 296095 34 296606 36 297117 40 297628 42 298139 46 298651 46 299162 48 299673 50 300185 50 300697 52 301209 52 301720 54 302231 56 302743 56 303255 56 303767 56 304279 56 304789 60 305301 60 305814 59 306327 58 306839 58 307350 59 307861 60 308373 60 308887 58 309399 58 309911 57 310423 56 310935 56 311448 54 311961 52 312474 48 312987 46 313499 46 314022 18 314042 10 314535 16 314555 8 315047 16 315067 8
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,128153 6 128665 6 129177 6 129689 6 130201 6 130713 4 131225 4
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,171695 4 172207 4 172718 6 173225 14 173737 14 174247 16 174759 16 175270 18 175781 20 176293 20 176804 21 177315 22 177827 22 178337 24 178849 24 179360 24 179871 24 180383 24 180895 23 181407 22 181919 21 182431 20 182943 20 183455 20 183967 20 184479 20 184990 10 185004 4 185501 4 185507 4 185517 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,204461 2 204973 2 205484 4 205995 8 206506 9 207017 10 207033 4 207529 10 207545 4 208041 11 208056 6 208553 22 209065 22 209576 24 210085 34 210597 34 211109 34 211621 34 212133 31 212645 30 213157 30 213671 22 214183 22 214700 12 215213 10 215725 10
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,221873 10 222385 10 222896 12 223405 16 223917 16 224429 17 224941 18 225453 18 225965 22 226477 22 226990 22 227503 22 228015 22 228527 13 228542 7 229039 12 229055 6 229554 8 229568 4 230067 6 230081 2 230579 6 230593 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,130739 6 131251 6 131762 7 132273 8 132785 8 133296 9 133807 10 134319 10 134831 10 135343 10 135856 9 136369 8 136881 8 137396 4 137909 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,200373 6 200885 6 201397 6 201909 6 202421 6 202933 6 203445 6 203957 5 204469 4 204981 4 205493 4 206005 4
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,118999 4 119039 2 119510 6 119551 3 120019 12 120063 4 120531 12 120575 4 121042 14 121086 4 121551 18 121575 6 121595 6 122063 18 122087 6 122107 6 122575 19 122598 8 122618 7 123087 34 123129 8 123598 36 123640 4 124107 48 124619 48 125130 46 125639 48 126151 48 126661 46 127173 46 127684 44 128193 46 128705 46 129217 27 129246 6 129256 4 129729 26 129759 4 129769 2 130241 26 130271 4 130281 2 130755 12 131267 12 131780 11 132293 10 132805 10 133317 10 133829 10 134341 10 134853 8 135365 8
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,204485 2 204997 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,206023 2 206535 2 207047 2 207559 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,158433 12 158944 14 159453 18 159965 18 160476 19 160985 22 161497 22 162008 24 162519 26 163030 27 163541 28 164053 28 164564 30 165075 32 165587 32 166098 33 166609 34 167121 34 167633 34 168145 34 168656 34 169167 34 169679 34 170189 34 170701 34 171212 34 171723 34 172235 34 172747 34 173259 34 173771 34 174283 32 174795 32 175307 32 175819 32 176331 32 176852 22 177365 20 177877 20 178389 16 178901 16 179413 5 179925 4 180437 4
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,130803 10 131315 10 131826 12 132311 40 132823 40 133336 38 133849 36 134361 36 134875 14 134893 16 135387 14 135405 16 135900 12 135922 10 136413 10 136435 8 136925 10 136947 8 137437 7 137949 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,97069 4 97581 4 98092 6 98603 8 99114 9 99625 10 100137 10 100648 12 101159 14 101671 14 102182 16 102693 20 102721 16 103204 22 103232 17 103713 26 103741 20 104225 26 104253 20 104737 19 104758 26 105249 18 105271 24 105761 18 105783 24 106273 17 106295 23 106785 16 106807 22 107297 11 107319 17 107809 10 107831 16 108321 10 108343 16 108855 15 109367 14 109879 14 110390 8 110893 16 111405 11 111917 10 112429 10 112942 9 113455 8 113967 8 114479 9 114991 10 115003 10 115502 24 116013 42 116525 42 117036 44 117545 50 118057 50 118568 51 119079 52 119590 53 120097 58 120609 58 121120 56 121631 56 122143 56 122654 53 123165 54 123676 38 124179 46 124691 46 125203 17 125224 22 125715 16 125737 20 126227 16 126249 20 126729 20 126761 20 127241 20 127273 20 127752 18 127785 20 128261 20 128297 20 128773 20 128809 20 129284 16 129320 20 129793 18 129831 20 130305 18 130343 20 130817 12 130849 22 131329 12 131361 22 131841 7 131873 7 131884 8 132353 6 132385 6 132397 6 132865 6 132897 6 132909 6 133410 5 133923 4 134435 4 134941 6 135453 6 135964 8 136471 14 136983 14 137494 16 137989 34 138501 34 139011 36 139523 36 140034 37 140531 8 140541 42 141043 8 141053 42 141554 53 142065 54 142577 47 143089 46 143601 46 144112 40 144623 40 145135 40 145647 27 146159 26 146672 18 147185 16 147697 16
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,155397 10 155909 10 156420 12 156931 14 157443 14 157955 15 158467 16 158979 15 159491 14 160003 14 160515 13 161027 12 161539 12
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,113413 2 113925 2 114437 2 114949 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,293143 4 293654 6 294163 10 294675 10 295186 11 295693 16 296205 16 296716 18 297225 22 297736 24 298247 34 298759 34 299271 35 299783 40 300295 40 300807 44 301319 44 301831 45 302343 46 302855 46 303367 46 303879 46 304391 46 304903 46 305415 46 305927 23 306439 22 306951 22 307464 22 307977 22 308489 22 309001 24 309513 24 310026 23 310539 22 311051 22 311566 16 312079 14 312596 4 313109 2 313621 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,83209 10 83721 10 84233 11 84745 12 85257 12 85769 13 86281 14 86793 14 87305 12 87817 12
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,106771 4 107282 5 107793 6 108305 6 108817 6 109329 6 109841 6
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,12573 12 13085 12 13597 13 14109 18 14621 18 15132 19 15641 22
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,309039 4 309551 4
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,253779 10 254290 12 254791 24 255303 24 255814 25 256323 28 256835 28 257345 30 257857 30 258372 16 258392 4 258885 14 258905 2 259397 14 259417 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,23891 2 24402 3 24913 4 25425 4 25936 4 26447 4 26959 4 27470 4 27981 4 28492 4 29003 4 29515 4 30026 4 30537 4 31049 4 31561 3 32073 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,101201 2 101713 2
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,314749 6 315261 6 315772 8 316271 22 316782 23 317293 24 317805 24 318317 25 318829 26 319341 26 319852 28 320351 8 320361 32 320862 43 321373 44 321885 44 322396 45 322907 46 323419 46 323931 46 324443 46 324956 44 325469 42 325981 42 326494 41 327007 40 327519 40 328034 37 328547 36 329060 34 329573 32 330085 32 330600 28 331113 26 331625 26 332144 18 332657 16
9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,275367 2 275879 2 276390 4 276889 20 277400 22 277909 48 278421 48 278932 50 279443 52 279955 52 280466 54 280977 60 281489 61 282001 64 282513 64 283025 65 283537 68 284049 68 284561 68 285073 68 285585 69 286097 70 286609 70 287121 70 287633 70 288145 70 288658 69 289171 68 289683 68 290195 68 290707 68 291222 4 291236 51 291735 2 291749 50 292247 2 292261 50 292776 46 293289 44 293806 38 294319 36 294831 36 295366 12 295879 10 296391 10
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,174081 4 174593 4 175105 4 175617 4 176129 4 176642 3 177155 2 177667 2 178179 2 178691 2 179203 2 179715 2 180227 2 180738 3 181249 4 181761 4 182273 4 182785 4 183297 5 183809 6 184321 6 184833 7 185345 8 185857 9 186369 12 186881 12 187393 12 187905 12 188417 12 188929 9 189441 8 189953 5 190465 4 190977 4 191489 5 192001 6 192513 6 193025 7 193537 8 194049 8 194561 8 195073 8
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,238159 8 238169 2 238671 8 238681 2 239182 13 239693 14 240205 14 240716 14 241225 16 241736 16 242247 16 242759 16 243270 17 243781 18 244293 18 244805 17 245317 16 245829 16 246341 16 246853 16 247364 17 247847 10 247875 18 248359 10 248387 18 248870 12 248898 20 249379 16 249407 24 249890 17 249918 26 250399 20 250429 28 250911 20 250941 28 251423 19 251452 30 251935 18 251963 32 252447 18 252475 32 252959 16 252986 33 253471 16 253497 34 253984 15 254008 35 254497 14 254519 36 255009 14 255031 36 255522 8 255542 37 256017 6 256035 6 256051 40 256529 6 256547 6 256563 40 257035 14 257053 12 257073 42 257547 14 257565 12 257585 42 258058 16 258076 14 258096 43 258567 38 258607 44 259079 38 259119 44 259590 85 260101 86 260613 86 261123 18 261147 64 261635 18 261659 64 262146 19 262182 54 262657 20 262695 54 263169 20 263207 54 263681 20 263722 26 263752 21 264193 20 264235 24 264265 20 264705 20 264747 24 264777 20 265217 18 265261 18 265291 16 265729 18 265773 18 265803 16 266241 18 266285 18 266318 12 266753 18 266797 18 266831 10 267265 18 267309 18 267343 10 267777 17 267821 18 268289 16 268333 18 268801 15 268846 16 269313 14 269359 14 269825 14 269871 14 270337 13 270384 12 270849 12 270897 10 271361 12 271409 10 271873 12 271922 9 272385 12 272435 8 272897 11 272948 7 273409 10 273461 6 273921 10 273973 6 274433 10 274485 5 274945 10 274997 4 275457 10 275509 4 275969 9 276481 8 276994 6 277507 4 278019 4
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,212495 2 213007 2 213519 2 214031 2 214543 2 215055 2 215567 2 216079 2 216591 2 217103 2 217613 6 218125 6 218638 5 219151 4 219663 4 220175 5 220687 6 221199 6 221713 8 222225 8 222737 9 223249 10 223761 10 224276 7 224789 6
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,177189 8 177199 2 177701 8 177711 2 178201 24 178713 24 179224 25 179735 26 180247 26 180758 26 181267 28 181779 28 182291 28 182803 28 183314 29 183825 30 184337 30 184850 29 185363 28 185876 26 186389 24 186901 24 187416 10 187428 9 187929 8 187941 8 188441 8 188453 8 188953 7 189465 6 189977 5 190489 4 191001 4
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,202777 4 203289 4 203800 6 204311 8 204823 8 205335 9 205847 10 206360 8 206873 6 207385 6
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,170095 2 170607 2 171118 4 171625 14 172137 14 172648 16 173157 24 173669 24 174175 36 174687 36 175198 38 175675 4 175707 42 176187 4 176219 42 176699 4 176731 42 177211 4 177243 42 177723 4 177755 42 178235 6 178267 44 178747 6 178779 44 179259 6 179290 46 179771 6 179799 50 180283 6 180311 50 180796 6 180822 52 181309 6 181325 62 181821 6 181837 62 182331 8 182345 66 182843 8 182857 66 183354 9 183368 68 183865 10 183879 70 184377 10 184391 70 184888 12 184902 71 185397 88 185908 89 186419 90 186931 90 187443 89 187955 88 188467 88 188979 88 189491 88 190003 88 190515 88 191027 88 191539 88 192051 88 192563 88 193075 88 193587 88 194106 42 194152 34 194619 40 194665 32 195131 40 195177 32 195643 39 195696 22 196155 38 196209 20 196667 38 196721 20 197178 39 197238 12 197683 46 197751 10 198194 47 198703 50 199215 50 199726 51 200237 52 200749 52 201260 42 201769 44 202282 43 202795 42 203307 42 203820 41 204333 40 204845 40 205356 41 205867 42 206378 30 206889 30 207401 30 207912 28 208423 28 208935 28 209449 8 209961 8 210474 6 210987 4 211499 4
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,142895 2 143407 2 143918 3 144427 6 144939 6 145451 6 145963 6 146475 6 146987 6 147499 6
0f1f896d9ae5a04752d3239c690402c022db4d72c0d2c087d73380896f72c466,211003 4 211515 4 212026 6 212529 20 213041 20 213549 14 213565 8 214061 14 214077 8 214573 3 214590 8 215085 2 215103 8 215597 2 215615 8 216127 9 216639 16 217151 16 217663 16 218175 16 218690 12 219203 10 219715 10 220230 4 220743 2 221255 2
